Gene,WGCNA_Modules, IntraModular Connectivity,
Os07g0180900,Yellow,53.7309860578169,
Os01g0756200,Turquoise,53.7139629020013,
Os03g0293100,Green,53.6266282157,
Os06g0567000,Turquoise,53.6137641093582,
Os03g0200500,Yellow,53.6116749817656,
Os03g0807800,Yellow,53.5766965565804,
Os06g0115500,Yellow,53.5522414509425,
Os01g0502700,Turquoise,53.5511125835431,
Os04g0614600,Blue,53.4387890775433,
Os03g0149200,Turquoise,53.3497195008351,
Os03g0128000,Turquoise,53.2775626640603,
Os04g0486600,Turquoise,53.2696425091458,
Os04g0439100,Blue,53.1799106281639,
Os03g0315800,Green,53.1573761059655,
Os11g0147150,Blue,53.1285874169132,
Os05g0274900,Yellow,53.0950087353021,
Os05g0135500,Turquoise,53.03475739803,
Os01g0140400,Turquoise,53.0072999351637,
Os02g0200800,Turquoise,52.9680360413232,
Os02g0739000,Green,52.9456467504751,
Os07g0471000,Blue,52.924643361475,
Os08g0359600,Yellow,52.8803236817483,
Os05g0464001,Blue,52.8741062903076,
Os05g0511000,Blue,52.7400461300238,
Os07g0662500,Yellow,52.7163411051767,
Os08g0434632,Turquoise,52.7051257452893,
Os09g0568800,Yellow,52.6570924722398,
Os01g0125900,Blue,52.6532383796228,
Os08g0499100,Turquoise,52.6270001429988,
Os12g0137500,Blue,52.5143496796667,
Os04g0105300,Turquoise,52.4784173196544,
Os08g0117200,Yellow,52.4656987827342,
Os02g0198400,Turquoise,52.2858621403463,
Os01g0195400,Turquoise,52.2843871927316,
Os12g0601000,Turquoise,52.2775531438593,
Os01g0756600,Turquoise,52.2769359575339,
Os01g0328400,Yellow,52.2362756719317,
Os03g0401300,Turquoise,52.1514805566748,
Os01g0100700,Yellow,51.9834255909768,
Os02g0616600,Blue,51.9121784037132,
Os02g0656200,Blue,51.8361352063159,
Os07g0145400,Turquoise,51.8106135831892,
Os07g0616900,Blue,51.7639156594451,
Os09g0439700,Turquoise,51.7355834507157,
Os03g0120000,Turquoise,51.6483649704759,
Os02g0709800,Blue,51.6407478782992,
Os02g0783700,Blue,51.6334640842152,
Os03g0265400,Green,51.5699201936995,
Os03g0232900,Blue,51.5558137224152,
Os01g0911300,Blue,51.3053542537709,
Os07g0406800,Turquoise,51.205554785251,
Os02g0821900,Blue,51.1783453884205,
Os11g0614900,Blue,51.1440099768512,
Os01g0265100,Turquoise,51.0859053972499,
Os02g0653000,Turquoise,51.0027979965883,
Os03g0294800,Turquoise,50.985808674011,
Os03g0710600,Green,50.8901506565193,
Os07g0271000,Blue,50.8673771971599,
Os01g0842500,Turquoise,50.8518280915324,
Os05g0105200,Blue,50.7302685581063,
Os01g0833500,Turquoise,50.7299731967703,
Os01g0723200,Yellow,50.6907924509093,
Os04g0337500,Turquoise,50.6631186980819,
Os04g0459500,Green,50.6306879534284,
Os08g0242800,Green,50.5894630876503,
Os05g0556700,Yellow,50.4806321341593,
Os02g0655700,Blue,50.3624689954051,
Os02g0450000,Turquoise,50.3120932371659,
Os05g0528900,Yellow,50.3090080284697,
Os08g0530200,Yellow,50.2965873392408,
Os04g0433200,Blue,50.2618261002405,
Os03g0343500,Yellow,50.1650017928885,
Os03g0643300,Blue,50.1642406718193,
Os07g0626300,Blue,50.0529845089355,
Os03g0297300,Yellow,50.051729565278,
Os03g0279200,Turquoise,50.0499296700991,
Os02g0831400,Turquoise,50.0339380917204,
Os11g0579800,Yellow,49.8530242885296,
Os06g0715100,Turquoise,49.8086688991003,
Os05g0147400,Yellow,49.8004604968655,
Os08g0559200,Yellow,49.7661662069575,
Os08g0491200,Turquoise,49.7377773779762,
Os02g0652600,Green,49.7274946273878,
Os02g0821200,Yellow,49.6923120548893,
Os02g0229000,Yellow,49.6735371598277,
Os11g0112800,Blue,49.6552351843233,
Os05g0355500,Yellow,49.5231052484951,
Os02g0699600,Yellow,49.5140386702905,
Os09g0481200,Green,49.477116081304,
Os06g0474500,Turquoise,49.4491879719939,
Os10g0457400,Turquoise,49.3673524863917,
Os09g0544900,Blue,49.3489488079273,
Os10g0404900,Turquoise,49.3435267342482,
Os08g0107500,Blue,49.3395958646116,
Os01g0611000,Turquoise,49.3243422481532,
Os03g0803800,Blue,49.2762654859139,
Os01g0283500,Blue,49.2276954331506,
Os05g0391200,Turquoise,49.2063521556828,
Os08g0399600,Yellow,49.1160648857119,
Os05g0156700,Turquoise,48.9825302136666,
Os11g0551800,Blue,48.9290407539495,
Os01g0773400,Turquoise,48.8964461012892,
Os02g0817700,Blue,48.763351951435,
Os11g0124900,Turquoise,48.7600205541473,
Os05g0155100,Yellow,48.6933383286455,
Os02g0815000,Yellow,48.6731445417028,
Os01g0896700,Yellow,48.6681445992455,
Os02g0742000,Blue,48.6083284836211,
Os08g0382400,Green,48.5855627471206,
Os07g0187200,Blue,48.582464849616,
Os08g0316900,Turquoise,48.5771219875061,
Os07g0168000,Green,48.5245334889952,
Os01g0757400,Turquoise,48.4818791893317,
Os04g0683600,Turquoise,48.4589747835084,
Os08g0513300,Yellow,48.4494926189184,
Os01g0720500,Green,48.4486055715641,
Os06g0714000,Blue,48.351661105822,
Os03g0302000,Blue,48.3308251895625,
Os05g0163700,Blue,48.3188248352979,
Os03g0141000,Yellow,48.3051128286606,
Os02g0103700,Yellow,48.2919167118119,
Os03g0809300,Blue,48.2851755040953,
Os02g0478700,Yellow,48.2555508688922,
Os04g0470100,Blue,48.2520880288368,
Os06g0285400,Turquoise,48.238312986499,
Os05g0170000,Turquoise,48.1355640692813,
Os05g0496200,Green,48.0864531687257,
Os08g0562200,Blue,48.0388105785741,
Os07g0659800,Turquoise,47.9983370071917,
