id,Label,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,
86,Os08g0376550,6.9585970072893,7728,royalBlue,3.76381343045823,
87,Os05g0147200,0.387920433645724,13365,Grey,0.127607023100545,
88,Os03g0327100,23.9957610603518,2751,Black,8.64343170198492,
89,Os01g0766300,12.6596758181352,5357,lightYellow,1.78656091514236,
90,Os03g0374400,23.70433993196,2793,Magenta,10.6533396216782,
91,Os01g0646800,2.10991242992607,11359,Brown,1.7119523439816,
92,Os03g0356414,8.31372036308187,7038,Blue,5.08111646023196,
93,Os02g0595700,50.0007139782253,794,Green,44.0775587268086,
94,Os07g0461900,3.25222158260621,10280,Red,1.02604209782107,
95,Os01g0183000,32.5094567202583,1768,Red,16.1806658077036,
96,Os01g0626400,11.207889939669,5866,lightYellow,2.9022417404834,
97,Os02g0467600,1.65558508688765,11847,lightYellow,0.736006690217147,
98,Os08g0558100,53.9213969583743,678,Black,8.62590452071641,
99,Os09g0440300,50.3256721525807,783,Blue,36.6389921773315,
100,Os01g0178700,13.2888152039132,5145,lightYellow,4.01289443550862,
101,Os01g0620800,2.39410426545308,11080,royalBlue,0.962961070339485,
102,Os10g0109600,10.0060436069343,6310,Salmon,2.99578736587823,
103,Os04g0175300,34.4780008888455,1619,Brown,29.2618537931778,
104,Os02g0767800,23.8022633268637,2780,MidnightBlue,12.7887394677181,
105,Os02g0675800,4.80550443659184,9057,royalBlue,1.73884543633481,
106,Os10g0495900,0.759789641111282,12903,GreenYellow,0.296598871159686,
107,Os03g0432900,33.5028317943584,1678,Magenta,9.27902386891122,
108,Os12g0149900,2.15736281468859,11305,Red,0.717392304882497,
109,Os08g0170700,16.462406403197,4227,Brown,14.7782307705161,
110,Os07g0563400,8.37338951983868,7017,GreenYellow,4.12060965794134,
111,Os03g0271600,10.7323758263914,6036,Pink,2.86765081440627,
112,Os01g0295700,19.6308746355632,3502,Black,8.0134477951196,
113,Os03g0734200,9.6851044167251,6416,Blue,5.18307675901953,
114,Os07g0530600,4.35175698320341,9402,Magenta,1.09725939567218,
115,Os04g0609200,8.07376046094734,7153,lightYellow,3.28266715199106,
116,Os04g0674450,3.34716625365838,10192,Grey60,0.9356696273923,
117,Os07g0158500,2.20476356561035,11262,Brown,1.25074266738239,
118,Os06g0225800,18.2169724335366,3778,Black,3.48944948372161,
119,Os03g0238300,5.85224701516061,8394,Brown,4.09038059109003,
120,Os03g0795000,17.1885867273506,4019,Blue,8.11920531893088,
121,Os01g0895300,6.21741042149048,8141,Magenta,3.17143929190568,
122,Os10g0555100,12.4185677736636,5434,GreenYellow,6.59846069720986,
123,Os02g0736400,51.8881766612896,737,Blue,39.859885763989,
124,Os06g0115700,30.9935661955153,1900,Turquoise,26.7118337390173,
125,Os01g0688600,4.33428779967218,9416,Black,2.59498917037422,
126,Os07g0187400,10.3636823442827,6184,Blue,5.80924882513223,
127,Os05g0402300,24.9561781350164,2611,lightYellow,10.913448872403,
128,Os08g0232100,18.2625252539597,3774,Salmon,12.3234308614307,
129,Os01g0788200,26.9288574001868,2333,Magenta,15.9412408745641,
130,Os09g0456200,5.78352063264239,8422,Yellow,2.28773738442891,
131,Os03g0847851,1.56663786724917,11961,MidnightBlue,1.00922451301847,
132,Os12g0618600,21.8233403005883,3074,Green,10.9275231151711,
133,Os10g0527800,3.58053449453849,10008,Tan,1.28598353901236,
134,Os12g0586000,41.5237413737695,1164,Red,16.9050192657272,
135,Os02g0194100,18.0107198810411,3822,Pink,9.99012663591599,
136,Os07g0118300,24.9658221501192,2610,Tan,12.6369281338563,
137,Os12g0112000,20.7439245447624,3266,GreenYellow,9.3339607230818,
138,Os02g0761600,10.5373282211061,6115,GreenYellow,4.63111156550481,
139,Os04g0105100,12.5507190529879,5401,Magenta,6.8774950585006,
140,Os07g0516300,17.9341724127786,3839,Black,6.02755366991181,
141,Os10g0362700,6.56048932894478,7945,Brown,4.68923354708898,
142,Os04g0442100,16.7762676799947,4124,Black,5.86616851230196,
143,Os03g0818100,63.5352238025771,449,Blue,44.1257853819986,
144,Os01g0844500,7.28502311505345,7549,Magenta,5.2611874038067,
145,Os06g0475500,10.8635575673522,5983,Green,3.68101545664344,
146,Os04g0693400,7.37538319454807,7493,Turquoise,3.99785994873224,
147,Os09g0538400,0.851956473544423,12790,Purple,0.299613381103083,
148,Os06g0689483,8.62326736077683,6880,Pink,4.62120028568506,
149,Os04g0675000,12.3328702948465,5462,Yellow,3.16319711830673,
150,Os07g0519300,24.0388909952068,2743,Brown,20.9726918865426,
151,Os10g0513200,2.95301674323375,10539,Turquoise,1.05733714852979,
